8.00

ENTITYFX_START






######################################################################################################################################################################################################################################################################################
#																																																													                                 #
#																										CREATION THRESHOLDS -------------------------------------------------->		EVOLUTION INFO --------------------------->						TRIGGERED AMBIENT EFFECTS -----> #	
#																								IGNORE	ALWAYS	SUN			RAIN		WIND		TEMPERATURE		TIME OF DAY										 TEMP EVO		NIGHT_PROB						TIME             #
# TAG							PTFX_ASSET					FX_NAME								ROT				THRESH		THRESH		THRESH		MIN		MAX		MIN		MAX		RAIN	WIND	MAX_WIND_EVO	MIN		MAX		MULT			IS_TRIG		MIN		MAX	         #
#																																																													                                 #
######################################################################################################################################################################################################################################################################################
																												
ENTITYFX_AMBIENT_PTFX_START																						
																												
AMB_ABATTOIR_ACID_BATH			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_ABATTOIR_CARCASS_DRIP		core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_ABATTOIR_SAW_BLOOD			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_BARREL_FIRE					core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_BEACH_CAMPFIRE				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_BUBBLE_STREAM				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_BUTTERFLYS					core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CANDLE_FLAME				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CIG_SMOKE_LINGER			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CH2_FARM_FIRE_DBLE			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
								
AMB_CH2_FARM_FIRE_U_L			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CH2_FARM_FIRE_U_S			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CH2_FARM_FIRE_L_L_L			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CH2_FARM_RESI_DBLE			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CH2_FARM_SMOKE_DBLE 		core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_CLUCK_BATH_STEAM			core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_COLD_AIR_FLOOR				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_COLD_AIR_VENT				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_COCKROACHES					core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_DRAIN_WATER					core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
								
AMB_DRY_ICE_AREA				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_DRY_ICE_VENT				core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_DUST_DEVIL_RURAL_LRG		core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_DUST_DEVIL_RURAL_SMA		core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_DUST_DEVIL_URBAN_LRG		core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
AMB_DUST_DEVIL_URBAN_SMA		core															-1		-1		-1.0		-1.0		-1.0		-100	100		-1		-1		-1		-1		-1			   -1.0	   -1.0	   -1.0				-1		   -1.0	   -1.0
